Sisävalaistus,Interior lighting,FULL_HYBRID,8,162
Radio/Medialaitteet,Radio/media devices,FULL_HYBRID,8,163
Turvavyöt,Seatbelts,FULL_HYBRID,8,164
Korroosio,Corrosion,FULL_HYBRID,9,165
Luukut ja kahvat,Hatches and handles,FULL_HYBRID,9,166
Maalipinta(ei normaali kuluminen),Paint(not normal wearing),FULL_HYBRID,9,167
Korin muut vauriot,Other damage to the frame,FULL_HYBRID,9,168
Vaihteiston toiminta,Transmission operation,FULL_HYBRID,10,169
Vetopyörästö,Drive gear,FULL_HYBRID,10,170
Koeajo,Short test drive,FULL_HYBRID,11,171
Rekisterikilvet,Registerplates,FULL_ELECTRIC,1,172
Valmistenumero,Productionnumber,FULL_ELECTRIC,1,173
Katsastustiedot,Inspections,FULL_ELECTRIC,1,174
Korjauskehoitus rekisteriotteessa,Correction prompt in the register extract,FULL_ELECTRIC,1,175
Huoltokirja,Maintenance book,FULL_ELECTRIC,1,176
Dynamometritesti - arvot,Dynamometer test - values,FULL_ELECTRIC,2,177
Etujarrut,Front brakes,FULL_ELECTRIC,2,178
Takajarrut,Back brakes,FULL_ELECTRIC,2,179
Käsijarru,Hand brake,FULL_ELECTRIC,2,180
Iskunvaimennus,Shock absorber,FULL_ELECTRIC,2,181
Etuakseli,Front axle,FULL_ELECTRIC,2,182
Taka-akseli,Back axle,FULL_ELECTRIC,2,183
OBD-testi,OBD-test,FULL_ELECTRIC,13,184
Valaistus etu,Lighting front,FULL_ELECTRIC,4,185
Ajovalot/parkit etu,Headlight/parking lights front,FULL_ELECTRIC,4,186
Suuntavilkut,Direction indicators,FULL_ELECTRIC,4,187
Hätävilkut,Hazard flasher,FULL_ELECTRIC,4,188
Sumuvalot,Fog lights,FULL_ELECTRIC,4,189
Lisävalot,Additional lights,FULL_ELECTRIC,4,190
Valaistus taka,Lighting back,FULL_ELECTRIC,4,191
Ajovalot/parkit taka,Headlight/parking lights back,FULL_ELECTRIC,4,192
Suuntavilkut,Direction indicators,FULL_ELECTRIC,4,193
Hätävilkut,Hazard flasher,FULL_ELECTRIC,4,194
Sumuvalot,Fog lights,FULL_ELECTRIC,4,195
Lisävalot,Additional lights,FULL_ELECTRIC,4,196
Pyyhkijät etu/taka,Wipers back and front,FULL_ELECTRIC,4,197
Tuulilasinpyyhkimet,Windshield wipers,FULL_ELECTRIC,4,198
Takalasinpyyhin,Rear window wiper,FULL_ELECTRIC,4,199
Lasinpesurit,Windshield washers,FULL_ELECTRIC,4,200
Tuulilasinpesuri,Windshield washer,FULL_ELECTRIC,4,201
Takalasinpesuri,Rear window washer,FULL_ELECTRIC,4,202
Ajovalopesuri,Headlight washer,FULL_ELECTRIC,4,203
Äänimerkki,Sound signal,FULL_ELECTRIC,4,204
Tuulilasin kunto,Windshield condition,FULL_ELECTRIC,4,205
Ohjausnivelistö,Control joint,FULL_ELECTRIC,5,206
Etuakseli,Front axle,FULL_ELECTRIC,5,207
Taka-akseli,Rear axle,FULL_ELECTRIC,5,208
"Akselituennat, pyöränlaakerit","Axle supports, wheel bearings",FULL_ELECTRIC,5,209
Etuakseli,Front axle,FULL_ELECTRIC,5,210
Taka-akseli,Rear axle,FULL_ELECTRIC,5,211
Jousitus,Suspension,FULL_ELECTRIC,5,212
Etuakseli,Front axle,FULL_ELECTRIC,5,213
Taka-akseli,Rear axle,FULL_ELECTRIC,5,214
Pakoputkisto,Exhaust system,FULL_ELECTRIC,5,215
Putket ja letkut,Pipes and hoses,FULL_ELECTRIC,5,216
Pohjalevy,Base plate,FULL_ELECTRIC,5,217
Runko,Frame,FULL_ELECTRIC,5,218
Helmakotelot,Sill panel,FULL_ELECTRIC,5,219
Jarrulevyt/palat,Brake pads/discs,FULL_ELECTRIC,5,220
Etuakseli,Front axle,FULL_ELECTRIC,5,221
Taka-akseli,Rear axle,FULL_ELECTRIC,5,222
Ajoakku ulkoinen kunto,Driving battery external condition,FULL_ELECTRIC,12,223
Ajoakku johdotus ja kaapelointi,Driving battery wiring and cabling,FULL_ELECTRIC,12,224
Ajoakku akkutestaus(pyydettäessä),Driving battery battery testing(on request),FULL_ELECTRIC,12,225
Eturenkaat kulutuspinta vasen,Front tires tread left,FULL_ELECTRIC,6,226
Eturenkaat kulutuspinta oikea,Front tires tread right,FULL_ELECTRIC,6,227
Takarenkaat kulutuspinta vasen,Rear tires tread left,FULL_ELECTRIC,6,228
Takarenkaat kulutuspinta oikea,Rear tires tread right,FULL_ELECTRIC,6,229
Ajoakun jäähdytysjärjestelmä,Driving battery cooling system,FULL_ELECTRIC,7,230
Lasit,Windows,FULL_ELECTRIC,8,231
Peilit,Mirrors,FULL_ELECTRIC,8,232
Kojetaulu,Panel,FULL_ELECTRIC,8,233
"Hallintalaitteet, mittaristo","Controls, instrument panel",FULL_ELECTRIC,8,234
Merkkivalot,Indicator lights,FULL_ELECTRIC,8,235
Lämmitys ja huurteenpoisto,Heating and frost protection,FULL_ELECTRIC,8,236
Ilmastointi,Air conditioning,FULL_ELECTRIC,8,237
Sisusta,Interior,FULL_ELECTRIC,8,238
Sisävalaistus,Interior lighting,FULL_ELECTRIC,8,239
Radio/Medialaitteet,Radio/media devices,FULL_ELECTRIC,8,240
Turvavyöt,Seatbelts,FULL_ELECTRIC,8,241
Korroosio,Corrosion,FULL_ELECTRIC,9,242
Luukut ja kahvat,Hatches and handles,FULL_ELECTRIC,9,243
Maalipinta(ei normaali kuluminen),Paint(not normal wearing),FULL_ELECTRIC,9,244
Korin muut vauriot,Other damage to the frame,FULL_ELECTRIC,9,245
Vetopyörästö,Drive gear,FULL_ELECTRIC,10,246
Koeajo,Short test drive,FULL_ELECTRIC,11,247
